MJD & Phase & Instrument & Telescope & Filter & AB Mag & 1sig Error & DMag & Ref & Note \\
57983.976 & 1.447 & Sinistro & LCO 1m & r & 17.98 & 0.08 & -0.04 & \citeauthor{arcavi2017optical}&*\\
57983.976 & 1.447 & DECam & Blanco/CTIO & Y & 17.32 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.977 & 1.448 & LDSS & Magellan & z & 17.62 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57983.977 & 1.448 & DECam & Blanco/CTIO & z & 17.59 & 0.02 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.977 & 1.448 &  T80Cam  & T80S & r & 17.93 & 0.02 &  0 &\citeauthor{diaz2017observations}&*\\
57983.978 & 1.449 & DECam & Blanco/CTIO & i & 17.78 & 0.02 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.978 & 1.449 &  T80Cam  & T80S & r & 17.97 & 0.02 &  0 &\citeauthor{diaz2017observations}&*\\
57983.978 & 1.449 & DECam & Blanco/CTIO & r & 18.04 & 0.02 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.978 & 1.449 & LDSS & Magellan & z & 17.61 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57983.979 & 1.450 & LDSS & Magellan & z & 17.61 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57983.979 & 1.450 & DECam & Blanco/CTIO & g & 18.66 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.979 & 1.450 &  T80Cam & T80S & r & 17.94 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.980 & 1.451 & DECam & Blanco/CTIO & u & 19.94 & 0.05 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57983.980 & 1.451 & LDSS & Magellan & i & 17.77 & 0.03 & 0 & \citeauthor{drout2017light}&*\\
57983.980 & 1.451 & ROS2 & REM & I & 17.66 & 0.06 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57983.980 & 1.451 & Sinistro & LCO 1m & g & 18.61 & 0.14 & -0.13 & \citeauthor{arcavi2017optical}&*\\
57983.980 & 1.451 & ROS2 & REM & r & 17.68 & 0.13 &  0 &\citeauthor{pian2017spectroscopic}&*\\
57983.980 & 1.451 & ROS2 & REM & z & 17.61 & 0.10 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57983.980 & 1.451 &  T80Cam  & T80S & i & 17.74 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.981 & 1.452 & LDSS & Magellan & r & 17.91 & 0.03 & 0 & \citeauthor{drout2017light}&*\\
57983.981 & 1.452 & FourStar & Magellan & Ks & 17.61 & 0.04 & 0 & \citeauthor{drout2017light}&*\\
57983.981 & 1.452 & FourStar & Magellan & J & 17.47 & 0.01 & 0 & \citeauthor{drout2017light}&*\\
57983.981 & 1.452 & LDSS & Magellan & g & 18.61 & 0.03 & 0 & \citeauthor{drout2017light}&*\\
57983.982 & 1.452 &  T80Cam  & T80S & i & 17.80 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.983 & 1.454 &  T80Cam  & T80S & i & 17.81 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.983 & 1.454 & LDSS & Magellan & B & 19.04 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57983.984 & 1.455 &  T80Cam  & T80S & g & 18.58 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.984 & 1.455 & LDSS & Magellan & B & 19.04 & 0.07 & 0 & \citeauthor{drout2017light}&*\\
57983.985 & 1.456 &  T80Cam  & T80S & g & 18.55 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.986 & 1.457 &  T80Cam  & T80S & g & 18.61 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57983.987 & 1.458 &  T80Cam  & T80S & r & 17.95 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.988 & 1.459 & LDSS & Magellan & g & 18.66 & 0.03 & 0 & \citeauthor{drout2017light}&*\\
57983.988 & 1.459 &  T80Cam  & T80S & r & 17.98 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.989 & 1.460 &  -  & KMTNet/CTIO & B & 19.09 & 0.11 & 0 & \citeauthor{troja2017x}&*\\
57983.989 & 1.460 &  -  & KMTNet/CTIO & I & 17.77 & 0.09 & 0 & \citeauthor{troja2017x}&*\\
57983.989 & 1.460 &  -  & KMTNet/CTIO & R & 17.94 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57983.989 & 1.460 &  -  & KMTNet/CTIO & V & 18.28 & 0.04 & 0 & \citeauthor{troja2017x}&*\\
57983.989 & 1.460 & VIRCAM & VISTA & Ks & 17.77 & 0.02 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.989 & 1.460 & VIRCAM & VISTA & Y & 17.45 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*\\
57983.990 & 1.461 &  T80Cam  & T80S & r & 17.99 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.990 & 1.461 & FourStar & Magellan & H & 17.52 & 0.01 & 0 & \citeauthor{drout2017light}&*\\
57983.991 & 1.462 &  T80Cam  & T80S & i & 17.78 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.991 & 1.462 &  Alta U47+ & Prompt5 & r & 18.00 & 0.06 &  0 &\citeauthor{valenti2017discovery}&*\\
57983.992 & 1.463 &  T80Cam  & T80S & i & 17.79 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.993 & 1.464 &  T80Cam  & T80S & i & 17.80 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.994 & 1.465 &  T80Cam  & T80S & g & 18.65 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
