 ! Swift/XRT detailed lightcurve of trigger: 10724, name: AT2018cow
 ! Swift/XRT lightcurve of trigger: 10724, name: AT2018cow
 ! T0 for this burst is Swift MET=551097137.0 s, = 2018 Jun 19 at 10:31:55.845 UT
 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
331711.718	50.000	-50.000	1.229829e-01	1.847203e-01	-9.002349e-02	0.000000e+00	0.000000e+00	0.090898
331811.718	50.000	-50.000	2.424407e-01	5.298676e-02	-5.298676e-02	3.193834e-04	3.193834e-04	1.000000
331911.718	50.000	-50.000	1.962469e-01	4.768789e-02	-4.768789e-02	3.193834e-04	3.193834e-04	1.000000
332011.718	50.000	-50.000	2.785625e-01	5.709290e-02	-5.709290e-02	9.581503e-04	5.531883e-04	1.000000
332111.718	50.000	-50.000	3.145971e-01	6.083666e-02	-6.083666e-02	1.277534e-03	6.387669e-04	1.000000
332211.718	50.000	-50.000	2.892566e-01	5.807745e-02	-5.807745e-02	9.581503e-04	5.531883e-04	1.000000
332311.718	50.000	-50.000	2.301667e-01	5.180298e-02	-5.180298e-02	1.277534e-03	6.387669e-04	1.000000
332411.718	50.000	-50.000	2.646698e-01	5.557948e-02	-5.557948e-02	1.596917e-03	7.141631e-04	1.000000
332511.718	50.000	-50.000	2.527159e-01	5.444119e-02	-5.444119e-02	2.235684e-03	8.450091e-04	1.000000
332611.718	50.000	-50.000	3.006429e-01	5.925671e-02	-5.925671e-02	1.277534e-03	6.387669e-04	1.000000
332711.718	50.000	-50.000	2.408938e-01	5.314204e-02	-5.314204e-02	2.235684e-03	8.450091e-04	1.000000
332811.718	50.000	-50.000	2.285318e-01	5.194379e-02	-5.194379e-02	3.193834e-03	1.009979e-03	1.000000
332911.718	50.000	-50.000	3.342422e-01	6.276943e-02	-6.276943e-02	3.193834e-03	1.009979e-03	1.000000
333011.718	50.000	-50.000	1.581363e-01	4.785412e-02	-4.000842e-02	4.151985e-03	1.151553e-03	1.000000
333111.718	50.000	-50.000	2.418303e-01	5.318253e-02	-5.318253e-02	1.596917e-03	7.141631e-04	1.000000
452311.718	50.000	-50.000	1.913159e-01	5.905948e-02	-4.902071e-02	1.553835e-03	7.769175e-04	0.752043
452411.718	50.000	-50.000	1.655635e-01	4.334779e-02	-4.334779e-02	2.044964e-03	7.729238e-04	1.000000
452511.718	50.000	-50.000	2.675126e-01	6.558933e-02	-6.558933e-02	2.278256e-03	9.300940e-04	0.793622
452611.718	50.000	-50.000	2.473641e-01	5.881168e-02	-5.881168e-02	1.529749e-03	6.841246e-04	1.000000
452711.718	50.000	-50.000	2.009246e-01	5.220280e-02	-5.220280e-02	9.178495e-04	5.299207e-04	1.000000
452811.718	50.000	-50.000	1.735789e-01	5.348026e-02	-4.438983e-02	9.178495e-04	5.299207e-04	1.000000
452911.718	50.000	-50.000	2.112338e-01	5.353585e-02	-5.353585e-02	2.141649e-03	8.094672e-04	1.000000
453011.718	50.000	-50.000	2.068356e-01	5.368820e-02	-5.368820e-02	5.813047e-03	1.333604e-03	1.000000
453111.718	50.000	-50.000	2.304861e-01	5.677389e-02	-5.677389e-02	7.648746e-03	1.529749e-03	1.000000
453211.718	50.000	-50.000	1.776073e-01	5.529296e-02	-4.622766e-02	7.954696e-03	1.560044e-03	1.000000
453311.718	50.000	-50.000	2.396472e-01	9.446664e-02	-7.548385e-02	8.858308e-03	2.367483e-03	0.483534
463811.718	50.000	-50.000	2.148745e-01	7.122891e-02	-5.864600e-02	6.879680e-03	1.908080e-03	0.612862
463911.718	50.000	-50.000	1.767848e-01	4.531593e-02	-4.531593e-02	3.924104e-03	1.132791e-03	0.991810
527111.718	50.000	-50.000	1.754587e-01	7.121703e-02	-5.609090e-02	1.503490e-03	8.680403e-04	0.589194
527211.718	50.000	-50.000	3.093567e-01	6.509892e-02	-6.509892e-02	2.066978e-03	7.812442e-04	1.000000
527311.718	50.000	-50.000	2.973014e-01	6.390705e-02	-6.390705e-02	1.771695e-03	7.232916e-04	1.000000
527411.718	50.000	-50.000	2.989540e-01	6.417419e-02	-6.417419e-02	1.476413e-03	6.602719e-04	1.000000
527511.718	50.000	-50.000	2.704837e-01	6.112293e-02	-6.112293e-02	2.066978e-03	7.812442e-04	1.000000
527611.718	50.000	-50.000	2.051330e-01	5.317756e-02	-5.317756e-02	5.905651e-04	4.175926e-04	1.000000
527711.718	50.000	-50.000	1.633311e-01	5.274376e-02	-4.345140e-02	1.181130e-03	5.905651e-04	1.000000
527811.718	50.000	-50.000	2.440522e-01	5.790923e-02	-5.790923e-02	1.181130e-03	5.905651e-04	1.000000
527911.718	50.000	-50.000	2.841046e-01	6.262208e-02	-6.262208e-02	2.066978e-03	7.812442e-04	1.000000
528011.718	50.000	-50.000	2.448245e-01	5.799531e-02	-5.799531e-02	8.858477e-04	5.114444e-04	1.000000
528111.718	50.000	-50.000	2.578124e-01	5.952166e-02	-5.952166e-02	1.181130e-03	5.905651e-04	1.000000
528211.718	50.000	-50.000	2.298043e-01	5.633138e-02	-5.633138e-02	1.771695e-03	7.232916e-04	1.000000
528311.718	50.000	-50.000	2.169255e-01	5.453776e-02	-5.453776e-02	8.858477e-04	5.114444e-04	1.000000
528411.718	50.000	-50.000	2.014719e-01	5.265076e-02	-5.265076e-02	1.771695e-03	7.232916e-04	1.000000
532811.718	50.000	-50.000	4.032609e-01	2.424606e-01	-1.724948e-01	0.000000e+00	0.000000e+00	0.123302
532911.718	50.000	-50.000	2.785493e-01	6.087851e-02	-6.087851e-02	3.194111e-04	3.194111e-04	1.000000
533011.718	50.000	-50.000	2.069112e-01	6.615986e-02	-5.450386e-02	0.000000e+00	0.000000e+00	0.796097
533111.718	50.000	-50.000	2.472035e-01	5.885597e-02	-5.885597e-02	1.776955e-03	7.254387e-04	1.000000
533211.718	50.000	-50.000	2.194378e-01	5.677233e-02	-5.677233e-02	2.961591e-04	2.961591e-04	1.000000
